iter	Passed	Remaining
0	55	55650
1	59	29757
2	69	22961
3	74	18596
4	83	16714
5	88	14592
6	91	13041
7	100	12505
8	105	11666
9	114	11287
10	118	10650
11	122	10060
12	128	9724
13	133	9409
14	138	9084
15	151	9332
16	156	9023
17	166	9091
18	172	8913
19	183	8978
20	187	8758
21	197	8762
22	201	8561
23	207	8456
24	217	8493
25	225	8458
26	233	8411
27	245	8518
28	249	8341
29	256	8308
30	261	8166
31	268	8130
32	274	8042
33	278	7914
34	282	7784
35	290	7778
36	294	7667
37	303	7680
38	308	7597
39	311	7484
40	320	7500
41	326	7435
42	332	7403
43	338	7350
44	341	7257
45	349	7242
46	354	7178
47	358	7116
48	369	7165
49	374	7112
50	383	7129
51	387	7064
52	396	7077
53	401	7033
54	405	6960
55	409	6902
56	416	6885
57	422	6866
58	433	6907
59	437	6851
60	449	6920
61	454	6878
62	464	6910
63	468	6850
64	474	6829
65	480	6798
66	485	6763
67	493	6762
68	497	6708
69	500	6655
70	509	6671
71	515	6646
72	525	6678
73	530	6632
74	535	6601
75	543	6608
76	547	6565
77	555	6571
78	562	6561
79	571	6568
80	578	6559
81	586	6563
82	590	6521
83	594	6478
84	603	6495
85	608	6468
86	619	6505
87	623	6464
88	627	6424
89	637	6447
90	641	6412
91	654	6459
92	658	6419
93	666	6427
94	673	6416
95	677	6378
96	686	6391
97	690	6356
98	694	6322
99	700	6308
100	707	6293
101	715	6295
102	723	6300
103	729	6282
104	737	6282
105	748	6311
106	753	6290
107	757	6255
108	767	6271
109	773	6258
110	783	6274
111	787	6245
112	793	6229
113	801	6226
114	807	6211
115	816	6221
116	819	6186
117	826	6176
118	834	6175
119	841	6173
120	851	6185
121	861	6201
122	870	6203
123	884	6245
124	893	6257
125	902	6257
126	912	6275
127	917	6247
128	925	6247
129	931	6231
130	941	6243
131	946	6225
132	949	6192
133	958	6193
134	962	6168
135	973	6181
136	977	6159
137	981	6130
138	990	6133
139	996	6118
140	1005	6126
141	1009	6101
142	1020	6117
143	1026	6099
144	1037	6119
145	1041	6092
146	1044	6062
147	1053	6065
148	1059	6051
149	1064	6034
150	1071	6022
151	1074	5995
152	1077	5966
153	1087	5975
154	1092	5956
155	1101	5957
156	1105	5934
157	1108	5908
158	1117	5912
159	1122	5893
160	1131	5896
161	1137	5884
162	1146	5888
163	1151	5871
164	1157	5858
165	1167	5863
166	1171	5842
167	1175	5819
168	1182	5815
169	1186	5792
170	1195	5794
171	1202	5787
172	1206	5766
173	1215	5770
174	1222	5762
175	1231	5764
176	1235	5745
177	1244	5745
178	1248	5726
179	1253	5708
180	1259	5697
181	1267	5698
182	1271	5676
183	1278	5669
184	1282	5650
185	1286	5629
186	1296	5635
187	1300	5618
188	1304	5597
189	1313	5600
190	1319	5587
191	1327	5586
192	1333	5574
193	1338	5559
194	1345	5555
195	1351	5545
196	1361	5548
197	1365	5532
198	1378	5547
199	1386	5544
200	1393	5537
201	1398	5524
202	1407	5525
203	1412	5512
204	1423	5519
205	1429	5508
206	1440	5516
207	1444	5499
208	1454	5506
209	1459	5491
210	1471	5501
211	1476	5486
212	1484	5486
213	1490	5473
214	1497	5467
215	1503	5458
216	1509	5445
217	1518	5448
218	1523	5433
219	1529	5423
220	1539	5425
221	1551	5436
222	1556	5423
223	1565	5423
224	1570	5410
225	1581	5415
226	1586	5403
227	1595	5401
228	1602	5394
229	1614	5403
230	1620	5393
231	1629	5394
232	1635	5383
233	1646	5390
234	1653	5382
235	1665	5390
236	1669	5374
237	1681	5383
238	1690	5381
239	1697	5376
240	1702	5360
241	1711	5362
242	1716	5348
243	1726	5348
244	1730	5331
245	1735	5319
246	1741	5310
247	1746	5296
248	1758	5304
249	1770	5312
250	1778	5307
251	1791	5316
252	1795	5301
253	1810	5318
254	1822	5325
255	1835	5333
256	1841	5323
257	1848	5316
258	1855	5307
259	1860	5294
260	1869	5292
261	1875	5281
262	1883	5277
263	1887	5263
264	1891	5246
265	1898	5239
266	1906	5234
267	1915	5232
268	1920	5217
269	1931	5221
270	1935	5206
271	1938	5188
272	1951	5196
